PID	Status	Label
73292	0	com.apple.mdworker.shared.01000000-0100-0000-0000-000000000000
858	0	com.apple.assistantd
-	-9	com.apple.siriinferenced
742	0	com.apple.studentd
-	0	com.apple.FollowUpUI
862	0	com.apple.videoconference.camera
-	0	com.apple.corespotlightservice
729	0	com.apple.uikitsystemapp
-	0	com.apple.controlstrip
-	-9	com.apple.financed
21241	0	application.com.google.Chrome.1480484.1481089.4A9C295D-3B40-46AC-A220-01C2FAA1D5DB
635	0	application.com.apple.mail.1152921500311886814.1152921500311886819
72042	-9	com.apple.findmy.findmylocateagent
-	0	com.apple.previewsd
68342	-9	com.apple.mediaanalysisd
-	0	com.apple.DiskArbitrationAgent
72215	-9	com.apple.assessmentagent
-	0	com.apple.exchange.exchangesyncd
-	0	com.apple.testmanagerd
-	0	com.apple.dt.AutomationModeUI
68317	-9	com.apple.scopedbookmarksagent.xpc
951	0	com.apple.ensemble
72214	-9	com.apple.ReportCrash
72636	0	com.apple.biomesyncd
20731	0	application.com.google.Chrome.1480484.1481089
70373	0	com.apple.ciphermld
735	0	com.openai.chat-helper
-	-9	com.apple.UsageTrackingAgent
-	-9	com.apple.email.maild
645	0	application.com.apple.TextEdit.1152921500311907223.1152921500311907228
72165	-9	com.apple.donotdisturbd
-	0	com.apple.accessorysensormgrd
-	0	com.apple.locationaccessstored
-	0	com.apple.menuextra.battery.helper
-	0	com.apple.appleseed.seedusaged.postinstall
-	0	com.apple.Maps.mapspushd
-	0	com.apple.coreidvd
-	0	com.apple.voicememod
-	0	com.apple.gamed
-	0	com.apple.STMUIHelper
72288	-9	com.apple.intelligencecontextd
72208	-9	com.apple.knowledge-agent
-	0	com.apple.midiserver
-	0	com.apple.mobiledeviceupdater
664	0	com.apple.AccessibilityUIServer
72220	-9	com.apple.communicationtrustd
-	0	com.apple.helpd
-	-9	com.apple.icloudmailagent
-	0	com.apple.quicklook.ui.helper
-	0	com.apple.GameOverlayUI
763	0	com.apple.wifi.WiFiAgent
-	0	com.apple.screensharing.MessagesAgent
-	0	com.apple.diskspaced
-	0	com.google.GoogleUpdater.wake
830	0	com.apple.passd
-	0	com.apple.DictationIM
72252	-9	com.apple.sociallayerd
-	0	com.apple.mdmclient.agent
-	-9	com.apple.iCloudHelper
-	0	com.apple.CharacterPicker.FileService
72239	-9	com.apple.keychainsharingmessagingd
-	0	com.apple.cvmsCompAgent3425AMD_x86_64
-	0	com.apple.gamecontroller.ConfigService
-	0	com.apple.security.XPCKeychainSandboxCheck
-	0	com.apple.podcasts.PodcastContentService
660	0	com.apple.CoreAuthentication.agent
68214	-9	com.apple.syncdefaultsd
-	0	com.apple.sidecar-display-agent
704	0	com.apple.chronod
-	-9	com.apple.accessibility.heard
872	0	com.apple.corespeechd
-	0	com.apple.geoanalyticsd
-	0	com.apple.AMPSystemPlayerAgent
-	-9	com.apple.itunescloudd
-	0	com.apple.scrod
-	-9	com.apple.spindump_agent
-	-9	com.apple.frauddefensed
-	0	com.apple.AquaAppearanceHelper
53219	-9	com.apple.AuthenticationServicesCore.AuthenticationServicesAgent
-	0	com.apple.cvmsCompAgent_arm64
72227	-9	com.apple.milod
-	0	com.apple.bookdatastored
71977	-9	com.apple.security.keychain-circle-notification
1798	0	com.apple.appstorecomponentsd
-	0	com.apple.icloud.findmydeviced.findmydevice-user-agent
1154	0	homebrew.mxcl.redis
-	0	com.apple.XProtect.agent.scan.startup
72232	-9	com.apple.amsengagementd
-	-9	com.apple.betaenrollmentagent
-	0	com.apple.AirPortBaseStationAgent
-	0	com.apple.proactiveeventtrackerd
-	0	com.apple.proactived
-	-9	com.apple.ModelCatalogAgent
606	0	com.apple.universalaccessd
612	0	com.apple.linkd
-	0	com.apple.accessibility.MotionTrackingAgent
649	0	application.com.apple.systempreferences.1152921500311902838.1152921500311902843
-	0	com.apple.neagent
-	-9	com.apple.SafariLaunchAgent
-	0	com.apple.idsfoundation.IDSRemoteURLConnectionAgent
-	0	com.apple.textcomposerd
-	-9	com.apple.recentsd
1484	0	com.apple.spotlightknowledged.updater
-	0	com.apple.transparencyStaticKey
-	-9	com.apple.sirittsd
-	-9	com.apple.dprivacyd
712	0	com.apple.usernoted
72260	-9	com.apple.geodMachServiceBridge
72169	-9	com.apple.Safari.History
-	-9	com.apple.translationd
639	0	application.com.apple.Passwords.1152921500311894800.1152921500311894828
-	0	com.apple.AddressBook.abd
-	0	com.apple.bluetoothaudiod
72211	-9	com.apple.calaccessd
-	0	com.apple.ScreenReaderUIServer
-	0	com.apple.newsd
1167	0	com.logi.cp-dev-mgr
-	0	com.apple.systemsettingsagent
72250	-9	com.apple.swcd
-	0	com.apple.symptomsd.distributed-agent
1173	0	com.apple.AirPlayUIAgent
640	0	application.com.apple.iWork.Pages.207003.207009
-	-9	com.apple.backgroundassets.user
-	0	com.apple.cvmsCompAgent_arm64_1
-	0	com.apple.shazamd
689	0	com.apple.corespotlightd
-	-9	com.apple.naturallanguaged
-	0	com.apple.netauth.user.gui
-	0	com.apple.watchlistd
656	0	com.apple.xtyped
